,Volkswagen_pref,Mercedes_Benz_Group,Allianz,Munich_Re,Bayer,BASF
w_star,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
w_1,0.2688053186406034,0.26120038161532844,0.26663095681274335,0.031282723601150524,0.009664233265806942,0.16241638606436754
w_2,0.2067520910240549,0.4581366875157759,0.011627445460383386,0.15346430881936057,0.010328552968724347,0.15969091421170076
w_3,0.4427564947465044,0.09894154105846269,0.3149563541936856,0.03932480286669037,0.023419274142817578,0.08060153299183942
w_4,0.15404581122666877,0.07059333255472072,0.21322096655355502,0.03821685677056971,0.31417204617073746,0.2097509867237484
w_5,0.26569465390300795,0.1689819426530456,0.18366167173697265,0.031227670042021687,0.07277769070075528,0.27765637096419676
w_6,0.1049933001648044,0.34149729705360893,0.19138294718351664,0.06427147250043833,0.12455273406612001,0.17330224903151184
w_7,0.07530011896540957,0.0704991311174176,0.19248388188043106,0.06503196800125038,0.29208320812558963,0.3046016919099018
w_8,0.21477172096151315,0.014467918984919228,0.22467435170175468,0.26831296104193897,0.2222914693278016,0.05548157798207248
w_9,0.1368837969812845,0.0706886942676835,0.15114101956605733,0.009016403277205716,0.07137985552664194,0.560890230381127
w_10,0.6970883046251907,0.09831325705419519,0.049552760628328855,0.06939142777295675,0.06303873922232633,0.022615510697002336
w_11,0.08315110074196422,0.10560388838213691,0.11573255792370446,0.407562406765879,0.16169763976885207,0.12625240641746335
w_12,0.2189257873086016,0.12431230057688014,0.00932641039584411,0.20069643294980896,0.13036693063556062,0.31637213813330456
w_13,0.3022747012935752,0.04949503131762869,0.007415371137147862,0.1378452400969086,0.3805885032446137,0.12238115291012601
w_14,0.44733567730895346,0.15807573415875373,0.27583865395332247,0.06062243027738387,0.028217383180641212,0.02991012112094543
w_15,0.032165466002998015,0.014943505332457255,0.4691870524403123,0.12261749026787135,0.10553915154886839,0.25554733440749255
w_16,0.042003573974542234,0.4302677060714021,0.2897821777885764,0.07384811685875903,0.044992190942179267,0.11910623436454099
w_17,0.042177877398399566,0.010479573667263783,0.06967497568517182,0.311580838509748,0.13958936966699337,0.42649736507242353
